bin,bank,type,length
622462,CSRCB,CC,16
622463,CHB,DC,19
622465,JSB,DC,17
622466,SJBANK,CC,16
622467,GCB,DC,19
622468,SHBANK,DC,18
622469,YNRCC,CC,16
622470,GDRCC,DC,19
622471,HKBEA,CC,16
622472,HKBEA,CC,16
622475,DAQINGB,DC,16
622476,URMQCCB,CC,16
622477,GDRCC,DC,19
622478,SHRCB,DC,16
622481,JRCB,CC,16
622482,SCBHK,CC,16
622483,SCBHK,CC,16
622484,SCBHK,CC,16
622486,SXCB,DC,16
622488,WJRCB,DC,16
622489,DSB,DC,17
622493,AEON,CC,16
622498,BHB,DC,19
62249802,QHDCCB,DC,19
62249804,BOCZ,DC,19
622499,BHB,DC,19
622500,SPDB,CC,16
622506,SXRCCU,DC,19
622508,ZYCBANK,DC,16
622509,GDRCC,DC,19
622510,ICBC,DC,18
622510,GDRCC,DC,19
622511,HBC,DC,17
622516,SPDB,DC,16
622517,SPDB,DC,16
622518,SPDB,DC,16
622519,SPDB,SCC,16
622520,SPDB,SCC,16
622521,SPDB,DC,16
622522,SPDB,DC,16
622523,SPDB,DC,16
622525,SPABANK,CC,16
622526,SPABANK,CC,16
622531,TRCB,DC,19
622532,JINCHB,DC,19
622535,SPABANK,DC,16
622536,SPABANK,DC,16
622537,GYCB,CC,16
622538,SPABANK,DC,16
622539,SPABANK,DC,16
622546,TFB,DC,19
622547,TFB,DC,19
622548,TFB,DC,19
622555,GDB,CC,16
622556,GDB,CC,16
622557,GDB,CC,16
622558,GDB,CC,16
622559,GDB,CC,16
622560,GDB,CC,16
622561,DYCB,DC,19
622562,DYCB,DC,19
622563,DYCB,DC,19
622566,HKB,CC,16
622567,HKB,CC,16
622568,GDB,DC,19
622569,WRCB,CC,16
622570,CEB,CC,16
622571,CIB,CC,16
622572,CIB,CC,16
622573,CIB,CC,16
622575,CMB,CC,16
622576,CMB,CC,16
622577,CMB,CC,16
622578,CMB,CC,16
622579,CMB,CC,16
622580,CMB,DC,16
622581,CMB,CC,16
622582,CMB,CC,16
622583,SCB,CC,16
622584,SCB,CC,16
622588,CMB,DC,16
622595,NJCB,CC,16
622596,NJCB,CC,16
622597,ICBC,CC,16
622598,CMB,DC,16
622599,ICBC,CC,16
622600,CMBC,CC,16
622601,CMBC,CC,16
622602,CMBC,CC,16
622603,CMBC,CC,16
622609,CMB,DC,16
622611,SHRCB,CC,16
622613,CQBANK,CC,16
622615,CMBC,DC,16
622616,CMBC,DC,16
622617,CMBC,DC,16
622618,CMBC,DC,16
622619,CMBC,DC,16
622620,CMBC,DC,16
622621,CMBC,CC,16
622622,CMBC,DC,16
622623,CMBC,CC,16
622625,HKB,CC,16
622626,HKB,CC,16
622630,HXBANK,DC,16
622631,HXBANK,DC,16
622632,HXBANK,DC,16
622633,HXBANK,DC,16
622636,HXBANK,CC,16
622637,HXBANK,CC,16
622638,HXBANK,CC,16
622644,DAQINGB,DC,19
622648,WJRCB,CC,16
622650,CEB,CC,16
622651,HSBANK,CC,16
622655,CEB,CC,16
622656,COMM,CC,16
622657,CEB,CC,16
622658,CEB,CC,16
622659,CEB,CC,16
622660,CEB,DC,16
622661,CEB,DC,16
622662,CEB,DC,16
622663,CEB,DC,16
622664,CEB,DC,16
622665,CEB,DC,16
622666,CEB,DC,16
622667,CEB,DC,16
622668,CEB,DC,16
622669,CEB,DC,16
622670,CEB,DC,16
622671,CEB,DC,16
622672,CEB,DC,16
622673,CEB,DC,16
622674,CEB,DC,16
622675,CCB,CC,16
622676,CCB,CC,16
